	logFC	AveExpr	t	P.Value	adj.P.Val	B	probe_id	symbol	change
ABCB6	-2.6787427468225	8.63691294466673	-17.0898009439529	5.92279363006861e-17	2.27861716536e-14	28.7203384269674	ILMN_1685496	ABCB6	down
ABCC1	-2.01760355790179	9.53203592152212	-16.8297620421832	8.97603810934374e-17	3.16696893114254e-14	28.3095118213371	ILMN_1662038	ABCC1	down
ABCF1	-1.73663404158197	8.20704635016098	-15.8145262040499	4.79090962234684e-16	1.29799911965442e-13	26.6504929106405	ILMN_1767722	ABCF1	down
ABL1	-2.25250577261228	8.51453143949747	-14.5659889522998	4.24047798630243e-15	7.76855567090604e-13	24.4816196798778	ILMN_1855910	ABL1	down
ACAD10	1.18212907011688	7.67585251635187	14.2060603969165	8.1656483152646e-15	1.27702773164577e-12	23.8281524884849	ILMN_1778136	ACAD10	up
ACADVL	-1.453561810218	10.1185750089424	-14.0681322755321	1.05313449428013e-14	1.55831501015174e-12	23.5742345332074	ILMN_1771333	ACADVL	down
ACIN1	-2.06242054839913	8.97607434522393	-13.5649582540004	2.70726849949838e-14	3.43598387097505e-12	22.6310332185427	ILMN_1755954	ACIN1	down
ACOT11	1.27345426213648	8.46672342671824	13.3194383500424	4.33184829373037e-14	5.17561700485698e-12	22.1609637545096	ILMN_1667068	ACOT11	up
ACOT9	-3.56059859679667	9.73583068646802	-13.0781999411487	6.917041321685e-14	7.87314833514395e-12	21.6926472089708	ILMN_1732782	ACOT9	down
ACOX3	2.02413634382209	8.25140074673422	12.9947522722913	8.14424211049812e-14	9.10829309520592e-12	21.5291421476282	ILMN_1657373	ACOX3	up
ACTL6A	-1.36146617598958	7.8894830139121	-12.4250507168442	2.53438804717487e-13	2.33260710408879e-11	20.3917237632795	ILMN_1735584	ACTL6A	down
ACTR6	-2.11840223034428	8.68323752285075	-12.0976862562812	4.94628348417238e-13	4.1548781267048e-11	19.721047676158	ILMN_1800739	ACTR6	down
ADAM22	-2.3663183085677	8.55681072441316	-11.5869147706293	1.43914547835769e-12	1.06885723635863e-10	18.6489208795561	ILMN_1748755	ADAM22	down
AFAP1L1	1.00877806737139	10.3084054390899	10.2188017760607	2.93809086594643e-11	1.39893851231053e-09	15.616093498457	ILMN_1656413	AFAP1L1	up
AFTPH	1.29866799681599	9.91301659590272	10.1252816277115	3.64202681979953e-11	1.67602937573358e-09	15.3999347246268	ILMN_1659206	AFTPH	up
AGAP1	-1.30689722261341	9.98460905361097	-10.1166227029415	3.71538969352619e-11	1.701648479635e-09	15.3798625294067	ILMN_1712298	AGAP1	down
AGAP2	1.13112468536814	8.90412908278454	10.1143233496489	3.73512416573284e-11	1.70662347867071e-09	15.3745307521489	ILMN_1771903	AGAP2	up
AGPAT2	-1.55027795915235	9.42065821792491	-9.98352863459724	5.05432267284013e-11	2.1996595234107e-09	15.0700923385054	ILMN_1804988	AGPAT2	down
AKAP11	1.47836927707821	8.90040013496374	9.65566271985538	1.08938258809393e-10	4.19107269291496e-09	14.2969870838996	ILMN_1732452	AKAP11	up
AMPH	-3.2863812588381	8.48891927660098	-8.94774056458878	6.00028762222864e-10	1.79504716487076e-08	12.5789525229854	ILMN_1676504	AMPH	down
ANGPT2	-1.86820295011126	8.77398441270078	-8.85575607801571	7.52585886644104e-10	2.17368500232522e-08	12.3508355327796	ILMN_1778121	ANGPT2	down
ANKRD35	-1.03645763195524	10.3225400827833	-8.62796319250925	1.32517875874536e-09	3.50634643785773e-08	11.7811280240027	ILMN_1676891	ANKRD35	down
ANXA1	1.0270459012214	7.69309015918036	8.41251807568214	2.27711660024105e-09	5.64466687142228e-08	11.2360722762606	ILMN_1690846	ANXA1	up
ANXA2R	-1.78020913299224	10.361675142853	-8.38672130673648	2.43059465155573e-09	5.97125398688711e-08	11.1704066344982	ILMN_1656145	ANXA2R	down
AP2A2	1.15847374120013	10.3666680686808	8.32163720231988	2.86646934130779e-09	6.82389585961408e-08	11.0043555889837	ILMN_1719303	AP2A2	up
AP3B2	-1.79610860926242	8.83494264874076	-8.31333153372548	2.92756158000475e-09	6.92676193763485e-08	10.9831260747379	ILMN_2381938	AP3B2	down
AP5M1	1.00632100392576	9.87810459649941	8.27221874498624	3.25011261550666e-09	7.59649650934217e-08	10.8779110551147	ILMN_1732060	AP5M1	up
APBA2	-1.05171598206003	10.495353098927	-8.26337194498505	3.32413362404298e-09	7.72258869469695e-08	10.8552423536289	ILMN_2180352	APBA2	down
APBB1	1.7251184513197	8.1455453912513	8.25734478118036	3.37554544019881e-09	7.82313157682702e-08	10.8397928797712	ILMN_1788149	APBB1	up
AQR	1.23262590695597	10.7080700383121	8.06807736946732	5.47879317688779e-09	1.16541703248233e-07	10.3523072441674	ILMN_1670379	AQR	up
ARAF	-1.07517690233804	7.83668639574137	-8.06735206110124	5.48901971006961e-09	1.16541703248233e-07	10.3504304594584	ILMN_1805645	ARAF	down
ARF5	1.47920641621056	10.8420512157366	8.02706750777613	6.08866796855581e-09	1.27862027339672e-07	10.2460886265372	ILMN_1671565	ARF5	up
ARFIP1	-1.06780505584208	10.108421896544	-7.98746888878392	6.7432621257924e-09	1.40534550651942e-07	10.1433272091108	ILMN_1785191	ARFIP1	down
