	logFC	AveExpr	t	P.Value	adj.P.Val	B	probe_id	symbol	change
A1CF	-4.5675793713847	9.26772217210378	-53.7839428416357	2.91960697461808e-31	5.61615597637534e-27	58.2836027216299	ILMN_1734695	A1CF	down
A2M	-2.55404288611094	8.28822819945364	-34.8489515821933	9.98571531661409e-26	9.60426099151943e-22	47.8373175035343	ILMN_1829889	A2M	down
A2ML1	-3.5175880708681	9.37018349323742	-33.7337920668878	2.57406614877899e-25	1.65049121459709e-21	46.9954196632497	ILMN_1808122	A2ML1	down
A4GALT	-3.90708560741984	9.0570418174188	-32.7688374396423	5.98460887690511e-25	2.87799840890367e-21	46.2392008917706	ILMN_1658499	A4GALT	down
A4GNT	-4.90591931024524	9.61561583991433	-30.4230705613906	5.15470460071442e-24	1.98311795398685e-20	44.2848435944744	ILMN_1673704	A4GNT	down
AA06	-2.47304034489391	8.17160312313487	-30.0308613615931	7.50166300228726e-24	2.4050331585333e-20	43.9409206530175	ILMN_1841495	AA06	down
AAAS	-2.48944223579212	8.12404414240722	-27.4001742546357	1.05327878342099e-22	2.89441009684089e-19	41.49343505997	ILMN_1805376	AAAS	down
AACS	-3.09607020798441	9.39301426804054	-26.8612907917963	1.86279223143422e-22	4.47908392048357e-19	40.9596701352742	ILMN_1784320	AACS	down
AACSP1	-2.10260874148937	8.13545529208292	-26.1369569479056	4.07684592924373e-22	8.70858735997945e-19	40.2234438954992	ILMN_1657855	AACSP1	down
AADAC	-3.60073065203422	9.4442219154386	-26.0414264334667	4.527234019536e-22	8.70858735997945e-19	40.1246920629787	ILMN_1676215	AADAC	down
AADACL2	-4.20162284051162	9.38733877492889	-25.596855622126	7.40718637103006e-22	1.2953148821194e-18	39.6599264004307	ILMN_2292646	AADACL2	down
AADACL3	-1.80198845258883	8.18998358859875	-25.30217574941	1.03101502387512e-21	1.65271708327181e-18	39.3470546534951	ILMN_2390609	AADACL3	down
AADACL4	-2.4755593851923	9.45418701938515	-24.1906335189301	3.70739422538608e-21	5.48580271688666e-18	38.1309975814985	ILMN_1737965	AADACL4	down
AADAT	-4.24478716516419	9.05292123642717	-23.607788490681	7.41030933275076e-21	1.01817650231995e-17	37.4696567583129	ILMN_1805404	AADAT	down
AAED1	-3.61856191783246	10.5404122310223	-23.5152244937056	8.28358311859361e-21	1.06228669912844e-17	37.3630660625827	ILMN_1654653	AAED1	down
AAK1	-2.57702478836888	8.6389817235032	-23.1856721419608	1.23558903560413e-20	1.48548691805507e-17	36.9800230862136	ILMN_1793435	AAK1	down
AAMDC	-4.93718093865987	9.82930323527065	-23.124562446324	1.33143245124207e-20	1.50655497835838e-17	36.9083781957018	ILMN_1768705	AAMDC	down
AAMP	-2.11436154588375	8.19322990697321	-21.5452583642221	9.78543337259998e-20	1.04573664641852e-16	34.9867859969292	ILMN_1679256	AAMP	down
AANAT	-2.2426868644891	8.21061021523999	-21.0810028380156	1.80276927348924e-19	1.82516156551785e-16	34.3949659272192	ILMN_2175317	AANAT	down
AAR2	-2.38944781039067	8.84131847290501	-20.9689455728573	2.09295350868636e-19	2.01300268465454e-16	34.2501883764592	ILMN_1667578	AAR2	down
AARD	-2.16599578868291	8.19801695717086	-20.7241154213585	2.90699738465214e-19	2.66280960434136e-16	33.9312049851617	ILMN_1868572	AARD	down
AARS	-3.2219182177609	8.97482749962424	-20.5943776215776	3.46460397843096e-19	3.02932373314082e-16	33.7606735025312	ILMN_1730645	AARS	down
AARS2	-3.84881571749447	9.46357353676034	-20.4118177289598	4.44225384622061e-19	3.71526934721303e-16	33.518927968107	ILMN_1730546	AARS2	down
AASDH	4.65092319465402	10.0304203737825	20.3210879619968	5.02997886565312e-19	4.03152806082098e-16	33.3980005752584	ILMN_2302757	AASDH	up
AASDHPPT	-1.90900357238359	8.13206493783984	-20.2627820861519	5.44948062568493e-19	4.04472688912729e-16	33.3200120137283	ILMN_1724708	AASDHPPT	down
AASS	-3.91818030574955	9.07390970869546	-20.2604510199795	5.46698373452431e-19	4.04472688912729e-16	33.3168895166815	ILMN_1698846	AASS	down
AATBC	-4.06162941911922	8.94560985290774	-19.7091921130751	1.17776416504568e-18	8.20015724880887e-16	32.5685660488166	ILMN_2397846	AATBC	down
AATF	-1.7895156383338	8.21460617866966	-19.6997038983529	1.19361823126767e-18	8.20015724880887e-16	32.5555108654042	ILMN_1810533	AATF	down
